State,Male ,Female,Sex Ratio
Alabama,2320188,2459548,0.943339183
Alaska,369628,340603,1.085216513
Arizona,3175823,3216194,0.987447586
Arkansas,1431637,1484281,0.964532322
California,18517830,18736126,0.988348925
Colorado,2520662,2508534,1.004834696
Connecticut,1739614,1834483,0.948285702
Delaware,434939,462995,0.939403233
District of Columbia,284222,317501,0.895184582
Florida,9189355,9611955,0.956033918
Georgia,4729171,4958482,0.95375379
Hawaii,681243,679058,1.003217693
Idaho,785324,782258,1.003919423
Illinois,6292276,6538356,0.962363628
Indiana,3189737,3294065,0.968328494
Iowa,1508319,1538036,0.980678606
Kansas,1415408,1437710,0.984487831
Kentucky,2134952,2204415,0.968489146
Louisiana,2219292,2314080,0.959038581
Maine,650056,678305,0.958353543
Maryland,2791762,2981790,0.936270495
Massachusetts,3166628,3381001,0.936594813
Michigan,4848114,5035526,0.962782041
Minnesota,2632132,2671793,0.985155661
Mississippi,1441240,1526057,0.944420818
Missouri,2933477,3055450,0.960080185
Montana,496667,492748,1.007953355
Nebraska,906296,920045,0.985056166
Nevada,1363616,1336935,1.019956842
New Hampshire,649394,667076,0.973493275
New Jersey,4279600,4512294,0.948431108
New Mexico,1017421,1041758,0.976638528
New York,9377147,10000955,0.937625157
North Carolina,4645492,4889991,0.950000112
North Dakota,339864,332727,1.021450018
Ohio,5632156,5904348,0.953899736
Oklahoma,1856977,1894374,0.980258914
Oregon,1896002,1935072,0.979809537
Pennsylvania,6190363,6512016,0.950606233
Rhode Island,508400,544167,0.934272016
South Carolina,2250101,2375263,0.947306046
South Dakota,407381,406799,1.001430682
Tennessee,3093504,3252601,0.951086223
Texas,12472280,12673281,0.984139782
Utah,1388317,1375568,1.009268171
Vermont,308206,317535,0.970620562
Virginia,3925983,4075041,0.963421718
Washington,3349707,3374833,0.992554891
West Virginia,913586,939408,0.972512476
Wisconsin,2822400,2864586,0.985273265
Wyoming,287437,276189,1.040725735
Puerto Rico?,1785171,1940618,0.919898197
